epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.2499,1.83056,2.89408,1.91545,0.41255,0.77308,0.58663,0.25309,1.62167,4.33748,2.00351,0.00013842,0.00013842,0.00013842
2,49.1794,1.78677,2.54253,1.82056,0.60167,0.61923,0.60799,0.28372,1.65317,4.64412,1.98853,0.0002814,0.0002814,0.0002814
3,72.3129,1.7621,2.55536,1.76515,0.61633,0.63077,0.61661,0.26446,1.9465,3.85139,2.43304,0.000421166,0.000421166,0.000421166
4,97.2058,1.76963,2.66762,1.80688,0.53584,0.617,0.53107,0.1951,1.99711,3.97378,2.30419,0.000557717,0.000557717,0.000557717
5,122.884,1.87113,2.59218,1.88269,0.60536,0.59615,0.53217,0.1979,2.09469,4.19235,2.40748,0.000691054,0.000691054,0.000691054
6,146.776,1.7969,2.38263,1.73033,0.82317,0.48214,0.61916,0.26265,1.9769,3.88703,2.39024,0.000726705,0.000726705,0.000726705
7,169.958,1.68038,2.3359,1.73437,0.72682,0.47318,0.57771,0.24785,1.88338,3.9791,2.27786,0.000718246,0.000718246,0.000718246
8,193.853,1.72168,2.27402,1.7672,0.47804,0.54231,0.56365,0.25546,1.87755,3.55214,2.16061,0.000709787,0.000709787,0.000709787
9,216.502,1.79036,2.2134,1.76126,0.4584,0.61709,0.59263,0.26027,2.0095,3.40278,2.16096,0.000701328,0.000701328,0.000701328
10,238.953,1.71485,2.30889,1.7741,0.74314,0.63346,0.70768,0.27017,1.94112,4.21811,2.06624,0.000692869,0.000692869,0.000692869
11,259.912,1.59044,2.20325,1.7186,0.66973,0.56923,0.69038,0.23125,1.90921,4.65932,2.06326,0.00068441,0.00068441,0.00068441
12,287.862,1.6464,2.25971,1.75944,0.59639,0.64615,0.6043,0.20701,1.82482,4.00891,2.08059,0.000675951,0.000675951,0.000675951
13,315.141,1.61046,2.13906,1.68206,0.71027,0.72308,0.73616,0.29964,1.57792,2.81074,1.91396,0.000667492,0.000667492,0.000667492
14,338.576,1.58833,2.14356,1.68952,0.55371,0.8981,0.74878,0.33829,1.64396,2.80391,1.91414,0.000659033,0.000659033,0.000659033
15,362.176,1.59478,2.12585,1.8183,0.57879,0.77308,0.70965,0.32403,1.67975,3.0286,1.90049,0.000650574,0.000650574,0.000650574
16,384.096,1.59913,1.91295,1.66917,0.5839,0.74172,0.65721,0.29282,1.6465,3.17542,1.88761,0.000642115,0.000642115,0.000642115
17,408.686,1.62683,1.9236,1.70686,0.72246,0.80299,0.74461,0.29739,1.64811,2.55904,1.92912,0.000633656,0.000633656,0.000633656
18,435.194,1.50428,1.90361,1.65745,0.76371,0.83243,0.84248,0.34695,1.48654,2.53853,1.90622,0.000625197,0.000625197,0.000625197
19,460.304,1.55625,1.92026,1.7049,0.73718,0.72308,0.82812,0.35426,1.49627,2.61842,1.96278,0.000616738,0.000616738,0.000616738
20,483.111,1.60206,1.96566,1.72316,0.91018,0.67066,0.77602,0.33926,1.59172,2.7047,2.00488,0.000608279,0.000608279,0.000608279
21,507.77,1.55817,1.91618,1.70577,0.53978,0.85,0.7251,0.33174,1.65598,2.7577,2.02188,0.00059982,0.00059982,0.00059982
