epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.8121,2.07741,4.60349,2.2942,0.04068,0.92308,0.3338,0.16383,1.41755,4.49867,1.86579,0.00013842,0.00013842,0.00013842
2,30.0218,1.71403,4.09596,1.9876,0.06273,0.88462,0.47688,0.18744,1.28491,4.57122,1.87216,0.000256362,0.000256362,0.000256362
3,44.4521,1.75857,3.63182,1.97237,0.04936,0.78462,0.40077,0.18534,1.40006,4.37352,1.93676,0.000345373,0.000345373,0.000345373
4,58.9814,1.63854,3.09597,1.8684,0.64483,0.35616,0.59357,0.25111,1.42897,3.93458,1.88666,0.000405455,0.000405455,0.000405455
5,74.9922,1.55958,2.98126,1.81563,0.50996,0.52292,0.60592,0.2627,1.49762,3.59487,1.93002,0.000436607,0.000436607,0.000436607
6,94.3288,1.58955,3.01409,1.88769,0.45277,0.66923,0.584,0.24054,1.61865,3.33493,2.00395,0.000388345,0.000388345,0.000388345
7,115.19,1.6509,2.99974,1.88022,0.47051,0.87308,0.58161,0.25187,1.65543,3.13953,2.01697,0.000312214,0.000312214,0.000312214
8,136.104,1.61734,2.81572,1.8663,0.58099,0.57727,0.60907,0.26513,1.65937,3.17254,2.03552,0.000236083,0.000236083,0.000236083
9,155.148,1.60569,2.83732,1.89586,0.63187,0.55769,0.60867,0.27098,1.70172,3.15892,2.06352,0.000159952,0.000159952,0.000159952
10,171.4,1.60475,2.67812,1.88415,0.56042,0.62574,0.60144,0.26587,1.70394,3.17306,2.04992,8.3821e-05,8.3821e-05,8.3821e-05
